751068.508356841;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
751068.5085002801;	0.0,0.0,0.0,0.0,-57261.34274827552,-57261.34274827552,-57261.34274827552,-11533.590986111825,-11533.590986111825,0.0,0.0
751069.555916032;	0.0,1.0,561.8802667146997,561.8802667146997,-56699.462481560826,-56699.462481560826,-56699.462481560826,-11431.702016926141,-11431.702016926141,0.0,0.0
751069.653310587;	0.0,2.0,200.39878453721417,200.39878453721417,-56499.06369702361,-56499.06369702361,-56499.06369702361,-11395.845711433676,-11395.845711433676,0.0,0.0
751069.7306619281;	0.0,3.0,567.3990629579685,567.399062957968,-55931.66463406564,-55931.66463406564,-55931.66463406564,-11283.466151025128,-11283.466151025128,0.0,0.0
751069.942902766;	0.0,4.0,1787.5551785590897,1787.5551785590897,-54144.109455506565,-54144.109455506565,-54144.109455506565,-10946.603111959443,-10946.603111959443,0.0,0.0
751070.477373908;	0.0,5.0,232.6128750780356,232.6128750780356,-53911.49658042853,-53911.49658042853,-53911.49658042853,-10898.36036232921,-10898.36036232921,0.0,0.0
751070.599829628;	0.0,6.0,108.69914632586381,108.69914632586381,-53802.79743410267,-53802.79743410267,-53802.79743410267,-10872.475667068446,-10872.475667068446,0.0,0.0
751071.113979432;	0.0,7.0,131.64106500811386,131.64106500811386,-53671.156369094555,-53671.156369094555,-53671.156369094555,-10851.4289409182,-10851.4289409182,0.0,0.0
751071.213482136;	0.0,8.0,307.4178099203668,307.4178099203668,-53363.73855917419,-53363.73855917419,-53363.73855917419,-10798.119410429521,-10798.119410429521,0.0,0.0
751071.658186979;	0.0,9.0,288.08093241992106,288.08093241992106,-53075.65762675427,-53075.65762675427,-53075.65762675427,-10745.21106307249,-10745.21106307249,0.0,0.0
751071.8707148661;	0.0,10.0,303.3787478920617,303.3787478920617,-52772.278878862206,-52772.278878862206,-52772.278878862206,-10701.721943471273,-10701.721943471273,0.0,0.0
751071.9837144461;	0.0,11.0,47.08305915019359,47.08305915019359,-52725.19581971201,-52725.19581971201,-52725.19581971201,-10692.788858161224,-10692.788858161224,0.0,0.0
751072.1852447591;	0.0,12.0,136.3131901408833,136.3131901408833,-52588.88262957112,-52588.88262957112,-52588.88262957112,-10670.782911779244,-10670.782911779244,0.0,0.0
751072.273316622;	0.0,13.0,134.82204883948862,134.82204883948862,-52454.06058073164,-52454.06058073164,-52454.06058073164,-10642.813100735371,-10642.813100735371,0.0,0.0
751072.367252554;	0.0,14.0,737.2017727138746,737.2017727138746,-51716.85880801776,-51716.85880801776,-51716.85880801776,-10484.396631983915,-10484.396631983915,0.0,0.0
751072.8064055081;	0.0,15.0,66.83265707685086,66.83265707685086,-51650.02615094091,-51650.02615094091,-51650.02615094091,-10468.78808515905,-10468.78808515905,0.0,0.0
751072.858235938;	0.0,16.0,422.369776750701,422.369776750701,-51227.65637419021,-51227.65637419021,-51227.65637419021,-10367.45616570284,-10367.45616570284,0.0,0.0
751073.303631583;	0.0,17.0,136.82847807732765,136.82847807732765,-51090.82789611287,-51090.82789611287,-51090.82789611287,-10340.851251618747,-10340.851251618747,0.0,0.0
751073.3583093621;	0.0,18.0,686.2806985517782,686.2806985517782,-50404.547197561085,-50404.547197561085,-50404.547197561085,-10208.599729926362,-10208.599729926362,0.0,0.0
751074.8390375491;	0.0,19.0,862.4562151935778,862.4562151935778,-49542.090982367525,-49542.090982367525,-49542.090982367525,-10053.278982053587,-10053.278982053587,0.0,0.0
751075.5257233051;	0.0,20.0,344.18452924480846,344.18452924480846,-49197.90645312274,-49197.90645312274,-49197.90645312274,-9984.701505120864,-9984.701505120864,0.0,0.0
751076.145338736;	0.0,21.0,154.70092150556883,154.70092150556883,-49043.20553161715,-49043.20553161715,-49043.20553161715,-9956.728801020585,-9956.728801020585,0.0,0.0
751076.355606551;	0.0,22.0,249.6505221097214,249.6505221097214,-48793.555009507436,-48793.555009507436,-48793.555009507436,-9912.557054225359,-9912.557054225359,0.0,0.0
751077.002732684;	0.0,23.0,189.65563603125497,189.65563603125486,-48603.89937347616,-48603.89937347616,-48603.89937347616,-9880.962450046769,-9880.962450046769,0.0,0.0
751078.206635765;	0.0,24.0,372.34580334379234,372.34580334379234,-48231.55357013237,-48231.55357013237,-48231.55357013237,-9815.445763271202,-9815.445763271202,0.0,0.0
751078.857198162;	0.0,25.0,25.155706639040176,25.15570663904029,-48206.39786349333,-48206.39786349333,-48206.39786349333,-9810.341317574253,-9810.341317574253,0.0,0.0
