751312.406925822;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
751312.4072978471;	0.0,0.0,0.0,0.0,-61979.77789538734,-61979.77789538734,-61979.77789538734,-12344.582652558416,-12344.582652558416,0.0,0.0
751313.941659471;	0.0,1.0,213.30730828105789,213.30730828105789,-61766.47058710628,-61766.47058710628,-61766.47058710628,-12301.887030863916,-12301.887030863916,0.0,0.0
751314.609472251;	0.0,2.0,900.2813911701937,900.2813911701928,-60866.18919593606,-60866.18919593606,-60866.18919593606,-12102.567334085074,-12102.567334085074,0.0,0.0
751315.258090992;	0.0,3.0,295.177302282661,295.177302282661,-60571.01189365339,-60571.01189365339,-60571.01189365339,-12053.413648314621,-12053.413648314621,0.0,0.0
751315.527747644;	0.0,4.0,84.34175740451383,84.34175740451383,-60486.67013624889,-60486.67013624889,-60486.67013624889,-12037.38999298294,-12037.38999298294,0.0,0.0
751315.6642972671;	0.0,5.0,145.92486478622504,145.92486478622504,-60340.74527146266,-60340.74527146266,-60340.74527146266,-12007.780405769307,-12007.780405769307,0.0,0.0
751315.990497784;	0.0,6.0,246.29468983815468,246.29468983815468,-60094.450581624515,-60094.450581624515,-60094.450581624515,-11964.06064379978,-11964.06064379978,0.0,0.0
751316.748447538;	0.0,7.0,287.4994068802778,287.4994068802778,-59806.95117474424,-59806.95117474424,-59806.95117474424,-11907.170389152017,-11907.170389152017,0.0,0.0
751317.428564436;	0.0,8.0,71.3290467941153,71.3290467941153,-59735.622127950126,-59735.622127950126,-59735.622127950126,-11888.387033443787,-11888.387033443787,0.0,0.0
751318.1803882801;	0.0,9.0,80.01531859992122,80.01531859992122,-59655.6068093502,-59655.6068093502,-59655.6068093502,-11873.026373006358,-11873.026373006358,0.0,0.0
751318.2972543311;	0.0,10.0,39.16011223248506,39.16011223248506,-59616.44669711772,-59616.44669711772,-59616.44669711772,-11862.759129597822,-11862.759129597822,0.0,0.0
751318.452273754;	0.0,11.0,57.8003181185436,57.8003181185436,-59558.646378999176,-59558.646378999176,-59558.646378999176,-11848.785270817612,-11848.785270817612,0.0,0.0
751318.753843724;	0.0,12.0,16.54513790003989,16.54513790003989,-59542.10124109914,-59542.10124109914,-59542.10124109914,-11847.212854520118,-11847.212854520118,0.0,0.0
751319.103609484;	0.0,13.0,73.62416280841853,73.62416280841853,-59468.47707829072,-59468.47707829072,-59468.47707829072,-11836.031045734588,-11836.031045734588,0.0,0.0
751319.93436185;	0.0,14.0,89.37302572948147,89.37302572948147,-59379.104052561226,-59379.104052561226,-59379.104052561226,-11815.881147707772,-11815.881147707772,0.0,0.0
751320.6693931421;	0.0,15.0,706.9229639148325,706.9229639148325,-58672.1810886464,-58672.1810886464,-58672.1810886464,-11662.9218014523,-11662.9218014523,0.0,0.0
751323.123851667;	0.0,16.0,953.303633470375,953.3036334703751,-57718.877455176014,-57718.877455176014,-57718.877455176014,-11483.687003852669,-11483.687003852669,0.0,0.0
751324.1669320541;	0.0,17.0,107.72721669242844,107.72721669242821,-57611.15023848359,-57611.15023848359,-57611.15023848359,-11466.392167397762,-11466.392167397762,0.0,0.0
751326.230302253;	0.0,18.0,18.676836587064457,18.676836587064457,-57592.473401896525,-57592.473401896525,-57592.473401896525,-11457.221638501045,-11457.221638501045,0.0,0.0
751328.482491238;	0.0,19.0,139.30571969198533,139.30571969198533,-57453.16768220454,-57453.16768220454,-57453.16768220454,-11425.45630472748,-11425.45630472748,0.0,0.0
751330.1707398441;	0.0,20.0,51.68017380673791,51.68017380673791,-57401.4875083978,-57401.4875083978,-57401.4875083978,-11408.612840955046,-11408.612840955046,0.0,0.0
751330.502943636;	0.0,21.0,92.45488540758453,92.45488540758453,-57309.032622990206,-57309.032622990206,-57309.032622990206,-11380.269419684246,-11380.269419684246,0.0,0.0
751330.835161814;	0.0,22.0,77.15152009051093,77.15152009051093,-57231.881102899686,-57231.881102899686,-57231.881102899686,-11374.382114369668,-11374.382114369668,0.0,0.0
751331.1033118911;	0.0,23.0,10.843097588716493,10.843097588716493,-57221.038005310984,-57221.038005310984,-57221.038005310984,-11373.386571616225,-11373.386571616225,0.0,0.0
751331.243235377;	0.0,24.0,10.553360836176433,10.553360836176433,-57210.48464447481,-57210.48464447481,-57210.48464447481,-11371.805547646647,-11371.805547646647,0.0,0.0
751332.4487471031;	0.0,25.0,260.9295176420485,260.92951764204804,-56949.555126832754,-56949.555126832754,-56949.555126832754,-11327.608343332819,-11327.608343332819,0.0,0.0
751335.7007151;	0.0,26.0,89.9544772502561,89.9544772502561,-56859.6006495825,-56859.6006495825,-56859.6006495825,-11307.707197646305,-11307.707197646305,0.0,0.0
751339.0631334371;	0.0,27.0,321.19132398812025,321.1913239881203,-56538.40932559439,-56538.40932559439,-56538.40932559439,-11253.521243829635,-11253.521243829635,0.0,0.0
751340.219603109;	0.0,28.0,114.53561881457114,114.53561881457114,-56423.87370677982,-56423.87370677982,-56423.87370677982,-11236.9548646805,-11236.9548646805,0.0,0.0
751341.715592543;	0.0,29.0,9.22993562344729,9.22993562344729,-56414.64377115638,-56414.64377115638,-56414.64377115638,-11234.367341099129,-11234.367341099129,0.0,0.0
751341.953470163;	0.0,30.0,9.024157507923235,9.024157507923235,-56405.619613648465,-56405.619613648465,-56405.619613648465,-11232.779640439909,-11232.779640439909,0.0,0.0
751345.459542921;	0.0,31.0,21.544167330624532,21.544167330624532,-56384.07544631783,-56384.07544631783,-56384.07544631783,-11224.539299872857,-11224.539299872857,0.0,0.0
751346.093608401;	0.0,32.0,165.22932556714863,165.22932556714863,-56218.84612075068,-56218.84612075068,-56218.84612075068,-11194.239270018303,-11194.239270018303,0.0,0.0
751352.2763089921;	0.0,33.0,102.92572872348381,102.92572872348381,-56115.9203920272,-56115.9203920272,-56115.9203920272,-11180.223732079303,-11180.223732079303,0.0,0.0
751359.074503263;	0.0,34.0,33.29744191794583,33.29744191794583,-56082.62295010924,-56082.62295010924,-56082.62295010924,-11170.891360272777,-11170.891360272777,0.0,0.0
751360.540770547;	0.0,35.0,149.14462008194832,149.14462008194832,-55933.47833002729,-55933.47833002729,-55933.47833002729,-11146.725261051104,-11146.725261051104,0.0,0.0
751362.2397723071;	0.0,36.0,80.38682869194261,80.38682869194261,-55853.09150133534,-55853.09150133534,-55853.09150133534,-11129.69058903425,-11129.69058903425,0.0,0.0
751363.9762814371;	0.0,37.0,224.9087583564651,224.9087583564651,-55628.18274297887,-55628.18274297887,-55628.18274297887,-11095.01482045891,-11095.01482045891,0.0,0.0
751373.4080419911;	0.0,38.0,266.80764583410655,266.8076458341066,-55361.37509714478,-55361.37509714478,-55361.37509714478,-11056.740641203667,-11056.740641203667,0.0,0.0
751375.3619015041;	0.0,39.0,63.673038062738385,63.673038062738385,-55297.70205908204,-55297.70205908204,-55297.70205908204,-11047.689729878402,-11047.689729878402,0.0,0.0
751385.7957896801;	0.0,40.0,30.067387720641136,30.067387720641136,-55267.63467136138,-55267.63467136138,-55267.63467136138,-11042.148081000712,-11042.148081000712,0.0,0.0
751386.091109758;	0.0,41.0,69.43130178558413,69.43130178558413,-55198.203369575815,-55198.203369575815,-55198.203369575815,-11029.747166731866,-11029.747166731866,0.0,0.0
751388.0830525031;	0.0,42.0,103.07028242203387,103.07028242203386,-55095.13308715377,-55095.13308715377,-55095.13308715377,-11009.871819101663,-11009.871819101663,0.0,0.0
751391.262100204;	0.0,43.0,84.96074161604163,84.96074161604163,-55010.172345537736,-55010.172345537736,-55010.172345537736,-10989.887289061822,-10989.887289061822,0.0,0.0
751394.3455306471;	0.0,44.0,73.31472448396315,73.31472448396315,-54936.85762105379,-54936.85762105379,-54936.85762105379,-10973.974155894331,-10973.974155894331,0.0,0.0
751397.2534343661;	0.0,45.0,46.907919898120724,46.907919898120724,-54889.94970115566,-54889.94970115566,-54889.94970115566,-10974.43214850335,-10974.43214850335,0.0,0.0
751399.5929903771;	0.0,46.0,11.305519293135205,11.305519293135205,-54878.644181862524,-54878.644181862524,-54878.644181862524,-10972.76716876578,-10972.76716876578,0.0,0.0
751409.3503617011;	0.0,47.0,113.1734839580372,113.17348395803717,-54765.470697904486,-54765.470697904486,-54765.470697904486,-10948.484634142793,-10948.484634142793,0.0,0.0
751421.5651261731;	0.0,48.0,5.865093895657935,5.865093895657935,-54759.60560400883,-54759.60560400883,-54759.60560400883,-10950.682309109194,-10950.682309109194,0.0,0.0
751421.888520463;	0.0,49.0,7.435747498180945,7.435747498180945,-54752.16985651066,-54752.16985651066,-54752.16985651066,-10950.894935996645,-10950.894935996645,0.0,0.0
751422.059247315;	0.0,50.0,59.12238496227735,59.12238496227735,-54693.047471548394,-54693.047471548394,-54693.047471548394,-10935.9722533314,-10935.9722533314,0.0,0.0
751424.2318985921;	0.0,51.0,257.599052328944,257.5990523289438,-54435.44841921944,-54435.44841921944,-54435.44841921944,-10893.436546108693,-10893.436546108693,0.0,0.0
751439.5500423211;	0.0,52.0,88.74158219249937,88.74158219249937,-54346.70683702695,-54346.70683702695,-54346.70683702695,-10879.74902690215,-10879.74902690215,0.0,0.0
751443.856140482;	0.0,53.0,158.73599665126682,158.73599665126682,-54187.97084037568,-54187.97084037568,-54187.97084037568,-10849.407370642233,-10849.407370642233,0.0,0.0
