Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;0;0.002057412;0.002057412;164.0;null;-12.420797173424317;-12.369321295148714;NaN
0;1;1.577295032;1.5793524440000002;167.0;Split(176,19,120,[C(8),C(-8)],MaxDepth(3));-12.37805021785697;-12.326540111086087;NaN
0;2;0.6678462890000001;2.2471987330000003;185.0;Split(210,31,200,[C(16),C(-16)],MaxDepth(3));-12.197633105398008;-12.126820976037148;NaN
0;3;0.648551313;2.8957500460000003;191.0;Split(203,7,184,[C(38),C(-38)],MaxDepth(3));-12.138479337405489;-12.077568785886394;NaN
0;4;0.269594473;3.1653445190000005;194.0;Split(147,85,36,[C(18),C(-18)],MaxDepth(3));-12.121577181613004;-12.061513019020982;NaN
0;5;0.136494228;3.3018387470000006;203.0;Split(191,91,146,[C(28),C(-28)],MaxDepth(3));-12.092333721736004;-12.03184409395722;NaN
0;6;0.32613432200000003;3.6279730690000007;222.0;Split(216,11,212,[C(4),C(-4)],MaxDepth(3));-12.042976068461826;-11.988036717234248;NaN
0;7;0.757896973;4.3858700420000005;224.0;Clone(221,20,[{275:223}],MaxDepth(3));-11.985360956862573;-11.931032454060137;NaN
0;8;0.680044038;5.065914080000001;248.0;Split(216,11,302,[C(6),C(-6)],MaxDepth(3));-11.97106655870744;-11.9122114563565;NaN
0;9;0.7517713610000001;5.817685441000001;252.0;Split(318,9,251,[C(39),C(-39)],MaxDepth(3));-11.955031424719479;-11.896820013032423;NaN
0;10;0.116821805;5.934507246000001;255.0;Split(140,103,12,[C(50),C(-50)],MaxDepth(3));-11.947183706837217;-11.886532193985794;NaN
0;11;0.15496068000000002;6.089467926000001;261.0;Split(194,69,156,[C(52),C(-52)],MaxDepth(3));-11.935600476753342;-11.872530331480574;NaN
0;12;0.301509898;6.390977824000001;263.0;Clone(123,16,[{314:126}],MaxDepth(3));-11.932284817855539;-11.870954764048214;NaN
0;13;0.349687114;6.740664938000001;272.0;Split(215,39,210,[C(16),C(-16)],MaxDepth(3));-11.917530476611367;-11.859750546828245;NaN
0;14;0.8306927730000001;7.571357711000001;284.0;Split(207,73,194,[C(52),C(-52)],MaxDepth(3));-11.899620050613473;-11.839560268244261;NaN
0;15;0.734996324;8.306354035000002;313.0;Split(219,53,218,[C(51),C(-51)],MaxDepth(3));-11.757952121973227;-11.686294390232765;NaN
0;16;2.4544188140000003;10.760772849000002;327.0;Clone(189,105,[{423:190}],MaxDepth(3));-11.566909309654513;-11.506700404661993;NaN
0;17;1.0430129350000001;11.803785784000002;362.0;Split(219,53,460,[C(53),C(-53)],MaxDepth(3));-11.545320689074869;-11.489370909216195;NaN
0;18;2.0633348540000003;13.867120638000003;393.0;Split(219,53,520,[C(48),C(-48)],MaxDepth(3));-11.541577836051408;-11.480182002506057;NaN
0;19;2.252158059;16.119278697000002;427.0;Split(568,81,562,[C(49),C(-49)],MaxDepth(3));-11.513660858157223;-11.448353010748978;NaN
0;20;1.6882150180000002;17.807493715000003;429.0;Clone(144,96,[{578:144}],MaxDepth(3));-11.503304109899359;-11.431475792540127;NaN
0;21;0.332147672;18.139641387000005;434.0;Clone(401,75,[{584:401}],MaxDepth(3));-11.484776076751544;-11.403075570825898;NaN
0;22;0.332183489;18.471824876000003;439.0;Clone(402,71,[{586:403}],MaxDepth(3));-11.469314850280497;-11.397176467304277;NaN
0;23;0.26810822500000003;18.739933101000002;443.0;Split(414,37,227,[C(43),C(-43)],MaxDepth(3));-11.467141884831861;-11.396178929475175;NaN
0;24;0.139892299;18.8798254;465.0;Split(568,81,606,[C(54),C(-54)],MaxDepth(3));-11.465026982860683;-11.394594737120888;NaN
0;25;1.2054638690000001;20.085289269;496.0;Split(219,53,461,[C(38),C(-38)],MaxDepth(3));-11.412736498363277;-11.35030896125533;NaN
0;26;3.2519158420000003;23.337205111;531.0;Split(219,53,698,[C(37),C(-37)],MaxDepth(3));-11.394709549014529;-11.330367933513331;NaN
0;27;3.362389357;26.699594468;574.0;Split(711,101,190,[C(44),C(-44)],MaxDepth(3));-11.330342550219317;-11.276073390610856;NaN
0;28;1.15642018;27.856014648000002;582.0;Clone(295,13,[{735:295,556:295}],MaxDepth(3));-11.307389520396757;-11.25947381230511;NaN
