Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;0;0.004613751;0.004613751;545.0;null;-36.217978360108994;-36.13167783507569;NaN
0;1;63.608938898000005;63.613552649000006;548.0;Split(431,217,138,[C(178),C(-178)],MaxDepth(3));-36.16053211678033;-36.07029383965405;NaN
0;2;1.082663865;64.696216514;551.0;Split(325,361,6,[C(141),C(-141)],MaxDepth(3));-36.106633041442514;-36.01866644999113;NaN
0;3;1.285665252;65.981881766;570.0;Split(707,123,686,[C(120),C(-120)],MaxDepth(3));-35.782638021092346;-35.72065329122865;NaN
0;4;11.507122711000001;77.48900447700001;591.0;Split(707,123,764,[C(179),C(-179)],MaxDepth(3));-35.74346618825716;-35.687056776858824;NaN
0;5;10.743105992;88.232110469;610.0;Split(726,89,724,[C(109),C(-109)],MaxDepth(3));-35.49985554805755;-35.459071772507414;NaN
0;6;44.71021237;132.942322839;633.0;Split(726,89,828,[C(118),C(-118)],MaxDepth(3));-35.463650818753926;-35.42830485038258;NaN
0;7;38.265616543;171.207939382;658.0;Split(726,89,863,[C(129),C(-129)],MaxDepth(3));-35.42744608204678;-35.39753792085423;NaN
0;8;44.618688911;215.826628293;683.0;Split(726,89,899,[C(140),C(-140)],MaxDepth(3));-35.391730776353334;-35.36725162845886;NaN
0;9;54.42770663100001;270.254334924;703.0;Split(702,235,676,[C(149),C(-149)],MaxDepth(3));-35.242130329076595;-35.217860630723905;NaN
0;10;10.907799895;281.16213481899996;709.0;Split(605,335,344,[C(93),C(-93)],MaxDepth(3));-35.205860280517555;-35.181758908324;NaN
0;11;2.1164328080000003;283.278567627;712.0;Split(467,173,174,[C(63),C(-63)],MaxDepth(3));-35.189054391180676;-35.16648241636083;NaN
0;12;3.7577092600000004;287.036276887;730.0;Split(665,357,602,[C(106),C(-106)],MaxDepth(3));-35.10046858229264;-35.076395677201255;NaN
0;13;4.9667668250000006;292.00304371199996;755.0;Split(726,89,935,[C(139),C(-139)],MaxDepth(3));-35.08978111057185;-35.06676578145979;NaN
0;14;66.516011437;358.519055149;780.0;Split(726,89,1037,[C(117),C(-117)],MaxDepth(3));-35.07932519843486;-35.057476058409684;NaN
0;15;83.401306891;441.92036204;789.0;Split(999,359,993,[C(84),C(-84)],MaxDepth(3));-35.05065503192399;-35.02907823562848;NaN
0;16;2.2883233880000002;444.20868542799997;793.0;Split(866,57,282,[C(40),C(-40)],MaxDepth(3));-35.046725283131465;-35.022918404838286;NaN
0;17;3.4459989870000003;447.65468441499996;832.0;Split(1071,135,1065,[C(108),C(-108)],MaxDepth(3));-34.99676022039568;-34.97823412018802;NaN
0;18;62.309850557000004;509.96453497199997;859.0;Split(1071,135,1131,[C(107),C(-107)],MaxDepth(3));-34.9598409211999;-34.94638601847985;NaN
0;19;38.282823693000005;548.247358665;870.0;Split(649,85,534,[C(118),C(-118)],MaxDepth(3));-34.93159744038069;-34.91892407049599;NaN
0;20;2.625241028;550.872599693;900.0;Split(823,65,813,[C(129),C(-129)],MaxDepth(3));-34.34683403130978;-34.33155461538037;NaN
0;21;37.366799173000004;588.239398866;928.0;Split(726,89,829,[C(140),C(-140)],MaxDepth(3));-33.87086141440064;-33.84953150863933;NaN
0;22;100.12599429400001;688.3653931599999;961.0;Split(1250,135,1244,[C(179),C(-179)],MaxDepth(3));-33.291718259971276;-33.26805047972654;NaN
0;23;81.71252919000001;770.07792235;969.0;Clone(647,95,[{688:648,1279:648}],MaxDepth(3));-32.94541508011957;-32.924023520779976;NaN
0;24;21.853750941;791.931673291;977.0;Clone(646,101,[{687:646,1277:646}],MaxDepth(3));-32.78262878407113;-32.76481595238287;NaN
0;25;22.003093340000003;813.934766631;982.0;Clone(539,75,[{651:542,1190:542}],MaxDepth(3));-32.724803507327856;-32.7090603488497;NaN
0;26;17.264646133;831.199412764;1004.0;Split(1250,135,1290,[C(127),C(-127)],MaxDepth(3));-32.70215826000206;-32.68618388615758;NaN
0;27;60.745308309;891.9447210730001;1045.0;Split(726,89,1252,[C(116),C(-116)],MaxDepth(3));-32.67951300960216;-32.66330854015001;NaN
0;28;58.450637221;950.3953582940001;1052.0;Clone(798,5,[{800:664,1346:1344}],MaxDepth(3));-32.64554778275303;-32.62658246369303;NaN
0;29;15.250672547;965.6460308410001;1077.0;Split(1071,135,1173,[C(127),C(-127)],MaxDepth(3));-32.63682561370283;-32.618891592450346;NaN
0;30;72.60181185;1038.2478426910002;1126.0;Split(726,89,1073,[C(116),C(-116)],MaxDepth(3));-32.62810365731273;-32.61121190385389;NaN
0;31;62.759600845;1101.0074435360002;1128.0;Clone(597,2,[{1343:1341,1451:1449,664:600}],MaxDepth(3));-32.617223501338145;-32.59835084763011;NaN
0;32;2.689603956;1103.6970474920001;1148.0;Split(713,339,698,[C(85),C(-85)],MaxDepth(3));-32.54707718538287;-32.53095411445086;NaN
0;33;27.993936805;1131.690984297;1150.0;Clone(340,340,[{1532:340}],MaxDepth(3));-32.531398852620484;-32.51159974137407;NaN
0;34;3.085523218;1134.776507515;1158.0;Clone(1083,361,[{1522:1085}],MaxDepth(3));-32.496671644988965;-32.47496602574611;NaN
0;35;2.8873449800000004;1137.6638524950001;1182.0;Split(713,339,1551,[C(82),C(-82)],MaxDepth(3));-32.48592050327444;-32.46321239196048;NaN
